nct_id,canonical_name_final,lead_sponsor,lead_sponsor_class,brief_title,phase,overall_status,source_therapy_name,therapy_identity_final,mechanism_superfamily,mechanism_family,molecular_targets,mechanism_action,modality,agonist_order,incretin_based,classification_status,confidence,source_url,notes,scope_review_flag,classification_status_original,classification_status_final,mechanism_superfamily_final,mechanism_family_final,mechanism_classified,researched_but_publicly_undisclosed,unreviewed_long_tail
NCT02462031,kd101,"Kwang Dong Pharmaceutical co., ltd.",INDUSTRY,"To Evaluate the Safety, Tolerability, PK, PK-PD Relation of KD101 in the Fed State in Obese or Overweight Subjects",PHASE1,UNKNOWN,kd101,KD101,Metabolic/energy expenditure,energy metabolism,direct molecular target not publicly established,Promotes energy metabolism without primary appetite suppression,small molecule / purified natural-product-derived compound,,False,VERIFIED,medium,https://pmc.ncbi.nlm.nih.gov/articles/PMC7877834/,(-)-alpha-cedrene single isomer; exact molecular target remains unclear.,False,VERIFIED,VERIFIED,Metabolic/energy expenditure,energy metabolism,True,False,False
NCT02476019,isis-fgfr4rx,"Ionis Pharmaceuticals, Inc.",INDUSTRY,"A Safety, Tolerability, PK, and PD Study of Once Weekly ISIS-FGFR4RX SC in Obese Patients",PHASE2,COMPLETED,,isis-fgfr4rx,,,,,,,,UNMAPPED,,,,False,UNMAPPED,UNCLASSIFIED_LONG_TAIL,Unclassified long tail,Not individually reviewed,False,False,True
NCT02496611,exenatide,University of Minnesota,OTHER,Enhancing Weight Loss Maintenance With GLP-1RA (BYDUREON™) in Adolescents With Severe Obesity,PHASE2,COMPLETED,exenatide,exenatide,Incretin-based,GLP-1,GLP1R,GLP-1 receptor agonist,peptide,mono,True,VERIFIED,high,https://pubmed.ncbi.nlm.nih.gov/41054801/,Exendin-4 based GLP-1RA.,False,VERIFIED,VERIFIED,Incretin-based,GLP-1,True,False,False
NCT02527200,liraglutide,Novo Nordisk A/S,INDUSTRY,Effect of Liraglutide for Weight Management in Paediatric Subjects With Prader-Willi Syndrome,PHASE3,COMPLETED,liraglutide,liraglutide,Incretin-based,GLP-1,GLP1R,GLP-1 receptor agonist,peptide,mono,True,VERIFIED,high,https://pubmed.ncbi.nlm.nih.gov/41054801/,GLP-1 analogue.,False,VERIFIED,VERIFIED,Incretin-based,GLP-1,True,False,False
NCT02554045,tadalafil,University of Roma La Sapienza,OTHER,Daily Tadalafil on Body Fat and Lean Mass,PHASE4,COMPLETED,,tadalafil,,,,,,,,UNMAPPED,,,,False,UNMAPPED,UNCLASSIFIED_LONG_TAIL,Unclassified long tail,Not individually reviewed,False,False,True
NCT02568306,nnc0165-1562,Novo Nordisk A/S,INDUSTRY,"A First Human Dose Trial Investigating Safety, Tolerability and Pharmacokinetics for Single Doses and Multiple Doses of NNC0165-1562 in Overweight to Obese But Otherwise Healthy Subjects",PHASE1,COMPLETED,nnc0165-1562,NNC0165-1562,CNS/appetite,PYY,NPY2R-dominant PYY pathway,Long-acting peptide YY analogue,peptide,mono,False,VERIFIED,high,https://pmc.ncbi.nlm.nih.gov/articles/PMC13376848/,Long-acting PYY analogue investigated alone and with semaglutide.,False,VERIFIED,VERIFIED,CNS/appetite,PYY,True,False,False
NCT02635386,dapagliflozin dapa,Woman's,OTHER,"EQW, DAPA, EQW/DAPA, DAPA/MET ER and PHEN/TPM ER in Obese Women With PolycysticOvary Syndrome (PCOS)",PHASE3,COMPLETED,dapagliflozin dapa,dapagliflozin,Renal/glucose transport,SGLT2,SLC5A2 (SGLT2),SGLT2 inhibition,small molecule,,False,VERIFIED_ALIAS,high,,Registry wording; collapse to dapagliflozin.,False,VERIFIED_ALIAS,VERIFIED_ALIAS,Renal/glucose transport,SGLT2,True,False,False
NCT02635386,dapagliflozin plus glucophage met er,Woman's,OTHER,"EQW, DAPA, EQW/DAPA, DAPA/MET ER and PHEN/TPM ER in Obese Women With PolycysticOvary Syndrome (PCOS)",PHASE3,COMPLETED,dapagliflozin plus glucophage met er,dapagliflozin + metformin,Metabolic combination,SGLT2 + biguanide,SLC5A2 (SGLT2); mitochondrial/AMPK-associated metformin pathways,Combined SGLT2 inhibition and metformin insulin-sensitising/metabolic effects,small-molecule combination,combination,False,VERIFIED_ALIAS,high,,Registry/formulation wording for dapagliflozin + metformin combination.,False,VERIFIED_ALIAS,VERIFIED_ALIAS,Metabolic combination,SGLT2 + biguanide,True,False,False
NCT02635386,eqw plus dapa,Woman's,OTHER,"EQW, DAPA, EQW/DAPA, DAPA/MET ER and PHEN/TPM ER in Obese Women With PolycysticOvary Syndrome (PCOS)",PHASE3,COMPLETED,eqw plus dapa,exenatide + dapagliflozin,Metabolic combination,GLP-1 + SGLT2,GLP1R; SLC5A2 (SGLT2),Combined GLP-1 receptor agonism and SGLT2 inhibition,peptide + small-molecule combination,combination,True,VERIFIED_ALIAS,high,https://pubmed.ncbi.nlm.nih.gov/28345814/,EQW denotes exenatide once weekly; DAPA denotes dapagliflozin.,False,VERIFIED_ALIAS,VERIFIED_ALIAS,Metabolic combination,GLP-1 + SGLT2,True,False,False
NCT02635386,exenatide once weekly eqw,Woman's,OTHER,"EQW, DAPA, EQW/DAPA, DAPA/MET ER and PHEN/TPM ER in Obese Women With PolycysticOvary Syndrome (PCOS)",PHASE3,COMPLETED,exenatide once weekly eqw,exenatide,Incretin-based,GLP-1,GLP1R,GLP-1 receptor agonism,peptide,mono,True,VERIFIED_ALIAS,high,,EQW denotes exenatide once weekly; collapse to exenatide.,False,VERIFIED_ALIAS,VERIFIED_ALIAS,Incretin-based,GLP-1,True,False,False
NCT02635386,phentermine + topiramate,Woman's,OTHER,"EQW, DAPA, EQW/DAPA, DAPA/MET ER and PHEN/TPM ER in Obese Women With PolycysticOvary Syndrome (PCOS)",PHASE3,COMPLETED,phentermine + topiramate,phentermine + topiramate,CNS/appetite,sympathomimetic + anticonvulsant,monoaminergic pathways; GABA/glutamate pathways,Appetite suppression through complementary CNS mechanisms,small-molecule combination,,False,VERIFIED,high,,Approved anti-obesity combination; established pharmacology.,False,VERIFIED,VERIFIED,CNS/appetite,sympathomimetic + anticonvulsant,True,False,False
NCT02647944,liraglutide,Mayo Clinic,OTHER,Pilot Study of the Effect of Liraglutide on Weight Loss and Gastric Functions in Obesity,PHASE2,COMPLETED,liraglutide,liraglutide,Incretin-based,GLP-1,GLP1R,GLP-1 receptor agonist,peptide,mono,True,VERIFIED,high,https://pubmed.ncbi.nlm.nih.gov/41054801/,GLP-1 analogue.,False,VERIFIED,VERIFIED,Incretin-based,GLP-1,True,False,False
NCT02664441,exenatide,Seattle Children's Hospital,OTHER,Energy Balance & Weight Loss in Craniopharyngioma-related or Other Hypothalamic Tumors in Hypothalamic Obesity,PHASE3,COMPLETED,exenatide,exenatide,Incretin-based,GLP-1,GLP1R,GLP-1 receptor agonist,peptide,mono,True,VERIFIED,high,https://pubmed.ncbi.nlm.nih.gov/41054801/,Exendin-4 based GLP-1RA.,False,VERIFIED,VERIFIED,Incretin-based,GLP-1,True,False,False
NCT02681939,tulsi ocimum sanctum linn,"All India Institute of Medical Sciences, Bhubaneswar",OTHER,Effect of Tulsi (Ocimum Sanctum) on Biochemical Parameters in Young Overweight and Obese Subjects,PHASE2,COMPLETED,,tulsi ocimum sanctum linn,,,,,,,,UNMAPPED,,,,False,UNMAPPED,UNCLASSIFIED_LONG_TAIL,Unclassified long tail,Not individually reviewed,False,False,True
NCT02692040,g3215,Imperial College London,OTHER,Study of the Gut Hormone Analogue G3215 in Adult Subjects,PHASE1,COMPLETED,g3215,G3215,Incretin-based,GLP-1/glucagon,GLP1R; GCGR,Dual GLP-1/glucagon receptor agonism,peptide,dual,True,VERIFIED,high,https://pubmed.ncbi.nlm.nih.gov/38229453/,GLP-1/glucagon co-agonist evaluated by adaptive continuous infusion.,False,VERIFIED,VERIFIED,Incretin-based,GLP-1/glucagon,True,False,False
NCT02692781,mod-6031,"OPKO Health, Inc.",INDUSTRY,"A Single-dose, Dose-escalation Study of a Long-acting MOD-6031 in Healthy Overweight or Obese Subjects",PHASE1,COMPLETED,,mod-6031,,,,,,,,UNMAPPED,,,,False,UNMAPPED,UNCLASSIFIED_LONG_TAIL,Unclassified long tail,Not individually reviewed,False,False,True
NCT02696148,liraglutide,Novo Nordisk A/S,INDUSTRY,"A Trial to Assess Safety, Tolerability, Pharmacokinetics and Pharmacodynamics of Liraglutide in Obese Children Aged 7 to 11 Years",PHASE1,COMPLETED,liraglutide,liraglutide,Incretin-based,GLP-1,GLP1R,GLP-1 receptor agonist,peptide,mono,True,VERIFIED,high,https://pubmed.ncbi.nlm.nih.gov/41054801/,GLP-1 analogue.,False,VERIFIED,VERIFIED,Incretin-based,GLP-1,True,False,False
NCT02708576,ngm313,"NGM Biopharmaceuticals, Inc",INDUSTRY,Phase 1 Study of NGM313 in Healthy Adult Participants,PHASE1,COMPLETED,ngm313,MK-3655,Metabolic/FGF21 pathway,FGFR1c/beta-Klotho,FGFR1c; KLB,Agonistic antibody selectively activating the beta-Klotho/FGFR1c complex,monoclonal antibody,,False,VERIFIED_ALIAS,high,https://www.ngmbio.com/news/release/merck-exercises-option-ngm-bios-investigational-insulin,NGM313 was renamed MK-3655.,False,VERIFIED_ALIAS,VERIFIED_ALIAS,Metabolic/FGF21 pathway,FGFR1c/beta-Klotho,True,False,False
NCT02714062,phentermine + topiramate,VIVUS LLC,INDUSTRY,A Pharmacokinetic Study Comparing VI-0521 With Placebo in Obese Adolescents,PHASE4,COMPLETED,phentermine + topiramate,phentermine + topiramate,CNS/appetite,sympathomimetic + anticonvulsant,monoaminergic pathways; GABA/glutamate pathways,Appetite suppression through complementary CNS mechanisms,small-molecule combination,,False,VERIFIED,high,,Approved anti-obesity combination; established pharmacology.,False,VERIFIED,VERIFIED,CNS/appetite,sympathomimetic + anticonvulsant,True,False,False
NCT02717858,liraglutide,Novo Nordisk A/S,INDUSTRY,A Trial to Assess the Effects of Liraglutide on Gallbladder Emptying in Overweight and Obese Subjects.,PHASE1,COMPLETED,liraglutide,liraglutide,Incretin-based,GLP-1,GLP1R,GLP-1 receptor agonist,peptide,mono,True,VERIFIED,high,https://pubmed.ncbi.nlm.nih.gov/41054801/,GLP-1 analogue.,False,VERIFIED,VERIFIED,Incretin-based,GLP-1,True,False,False
NCT02718950,liraglutide,"University of Campinas, Brazil",OTHER,"Influence of Liraglutide, a GLP-1 Receptor Agonist, on Brown Adipose Tissue (BAT) Activity in Humans",PHASE3,UNKNOWN,liraglutide,liraglutide,Incretin-based,GLP-1,GLP1R,GLP-1 receptor agonist,peptide,mono,True,VERIFIED,high,https://pubmed.ncbi.nlm.nih.gov/41054801/,GLP-1 analogue.,False,VERIFIED,VERIFIED,Incretin-based,GLP-1,True,False,False
NCT02736474,bupropion,Shanghai Mental Health Center,OTHER,"Naltrexone and Bupropion Combination on Obese,Smoking Patients With Schizophrenia",PHASE4,COMPLETED,bupropion,bupropion,CNS/appetite,catecholaminergic,NET; DAT,Norepinephrine/dopamine reuptake inhibition,small molecule,,False,VERIFIED,high,,Repurposed CNS agent.,False,VERIFIED,VERIFIED,CNS/appetite,catecholaminergic,True,False,False
NCT02736474,naltrexone,Shanghai Mental Health Center,OTHER,"Naltrexone and Bupropion Combination on Obese,Smoking Patients With Schizophrenia",PHASE4,COMPLETED,naltrexone,naltrexone,CNS/appetite,opioid,OPRM1,Opioid receptor antagonism,small molecule,,False,VERIFIED,high,,Established pharmacology.,False,VERIFIED,VERIFIED,CNS/appetite,opioid,True,False,False
NCT02740660,caffeine / albuterol,Pennington Biomedical Research Center,OTHER,Body Composition Changes With Albuterol and Caffeine Versus Placebo in Adolescents,,COMPLETED,caffeine / albuterol,caffeine + albuterol,Metabolic/energy expenditure,thermogenic/sympathomimetic combination,ADORA1/ADORA2A pathways; ADRB2,Caffeine plus beta2-adrenergic agonism to increase energy expenditure and improve body composition,small-molecule combination,combination,False,VERIFIED,high,https://clinicaltrials.gov/study/NCT02740660,Pediatric-obesity body-composition programme.,False,VERIFIED,VERIFIED,Metabolic/energy expenditure,thermogenic/sympathomimetic combination,True,False,False
NCT02743598,liraglutide,Temple University,OTHER,Liraglutide for HIV-associated Neurocognitive Disorder,PHASE4,TERMINATED,liraglutide,liraglutide,Incretin-based,GLP-1,GLP1R,GLP-1 receptor agonist,peptide,mono,True,VERIFIED,high,https://pubmed.ncbi.nlm.nih.gov/41054801/,GLP-1 analogue.,False,VERIFIED,VERIFIED,Incretin-based,GLP-1,True,False,False
NCT02754258,mph,Children's Hospital of Eastern Ontario,OTHER,The Effects of Methylphenidate on Energy Intake and Energy Expenditure,PHASE3,UNKNOWN,,mph,,,,,,,,UNMAPPED,,,,False,UNMAPPED,UNCLASSIFIED_LONG_TAIL,Unclassified long tail,Not individually reviewed,False,False,True
NCT02777489,perindopril,Gene PreDiT,INDUSTRY,Influence of Carboxypeptidase D (CPD) Gene on Body Weight and Fat Mass Reduction by Perindopril in Obese Subjects,PHASE2,TERMINATED,,perindopril,,,,,,,,UNMAPPED,,,,False,UNMAPPED,UNCLASSIFIED_LONG_TAIL,Unclassified long tail,Not individually reviewed,False,False,True
NCT02784275,cyclo-z,"NovMetaPharma Co., Ltd.",INDUSTRY,A Study to Evaluate the Efficacy and Safety of Cyclo-Z in Patients With Obese Type 2 Diabetes,PHASE2,COMPLETED,cyclo-z,Cyclo-Z,Metabolic/insulin-leptin sensitisation,insulin/leptin sensitisation,direct molecular target not established,Cyclo(His-Pro) plus zinc formulation intended to improve insulin and leptin sensitivity,cyclic dipeptide + zinc combination,,False,VERIFIED,medium,https://diabetesjournals.org/diabetes/article/68/Supplement_1/1174-P/58999/,Phase 2a combination of cyclo(His-Pro) and zinc; direct molecular target is not established.,False,VERIFIED,VERIFIED,Metabolic/insulin-leptin sensitisation,insulin/leptin sensitisation,True,False,False
NCT02794402,exenatide,Uppsala University,OTHER,"Double-blinded, 6 Months Study With Bydureon® or Placebo in Adolescents With Obesity to Explore Changes in BMI",PHASE2,COMPLETED,exenatide,exenatide,Incretin-based,GLP-1,GLP1R,GLP-1 receptor agonist,peptide,mono,True,VERIFIED,high,https://pubmed.ncbi.nlm.nih.gov/41054801/,Exendin-4 based GLP-1RA.,False,VERIFIED,VERIFIED,Incretin-based,GLP-1,True,False,False
NCT02796144,lorcaserin,"University of North Carolina, Chapel Hill",OTHER,MEtformin and Lorcaserin for WeighT Loss in Schizophrenia,PHASE4,TERMINATED,lorcaserin,lorcaserin,CNS/appetite,serotonergic appetite,HTR2C (5-HT2C),5-HT2C receptor agonist,small molecule,mono,False,VERIFIED,high,,Serotonergic appetite suppressant; historically marketed.,False,VERIFIED,VERIFIED,CNS/appetite,serotonergic appetite,True,False,False
NCT02796144,metformin,"University of North Carolina, Chapel Hill",OTHER,MEtformin and Lorcaserin for WeighT Loss in Schizophrenia,PHASE4,TERMINATED,metformin,metformin,Metabolic/energy expenditure,insulin sensitisation/metabolic,mitochondrial complex I; AMPK-associated pathways,Pleiotropic insulin-sensitising and metabolic effects,small molecule,,False,VERIFIED,medium,,Mechanism is pleiotropic; no single receptor target adequately describes metformin.,False,VERIFIED,VERIFIED,Metabolic/energy expenditure,insulin sensitisation/metabolic,True,False,False
NCT02819934,kd101,Seoul National University Hospital,OTHER,A Phase I Study to Investigate the ADME of KD101,PHASE1,COMPLETED,kd101,KD101,Metabolic/energy expenditure,energy metabolism,direct molecular target not publicly established,Promotes energy metabolism without primary appetite suppression,small molecule / purified natural-product-derived compound,,False,VERIFIED,medium,https://pmc.ncbi.nlm.nih.gov/articles/PMC7877834/,(-)-alpha-cedrene single isomer; exact molecular target remains unclear.,False,VERIFIED,VERIFIED,Metabolic/energy expenditure,energy metabolism,True,False,False
NCT02828228,vitamin d 1200 iu,"University Clinical Centre, Gdansk",OTHER,Vitamin D Supplementation in Vitamin D Deficient Obese Children During Weight-loss Program,,UNKNOWN,,vitamin d 1200 iu,,,,,,,,UNMAPPED,,,,False,UNMAPPED,UNCLASSIFIED_LONG_TAIL,Unclassified long tail,Not individually reviewed,False,False,True
NCT02835235,nnc9204-0530,Novo Nordisk A/S,INDUSTRY,"A Trial Investigating Safety, Tolerability, PK and PD for Multiple Doses of NNC9204-0530 in Male and Female Subjects Being Overweight or With Obesity",PHASE1,COMPLETED,nnc9204-0530,NNC9204-0530,Glucagon pathway,glucagon,GCGR,Glucagon receptor agonist,peptide,mono,False,VERIFIED,high,https://pmc.ncbi.nlm.nih.gov/articles/PMC10304508/,Also known as NN9030.,False,VERIFIED,VERIFIED,Glucagon pathway,glucagon,True,False,False
NCT02849743,syntocinon,"Shana McCormack, MD",OTHER,Intranasal Oxytocin in Hypothalamic Obesity,PHASE2,COMPLETED,syntocinon,oxytocin,Oxytocin,oxytocin receptor,OXTR,Oxytocin receptor agonist,peptide,mono,False,VERIFIED_ALIAS,high,https://clinicaltrials.gov/study/NCT02849743,Syntocinon is intranasal oxytocin; collapse into oxytocin identity.,False,VERIFIED_ALIAS,VERIFIED_ALIAS,Oxytocin,oxytocin receptor,True,False,False
NCT02860923,exenatide,"University Hospital, Bordeaux",OTHER,Efficacy and Safety of Exenatide in the Treatment of Hypothalamic Obesity After Craniopharyngioma Therapy,PHASE3,COMPLETED,exenatide,exenatide,Incretin-based,GLP-1,GLP1R,GLP-1 receptor agonist,peptide,mono,True,VERIFIED,high,https://pubmed.ncbi.nlm.nih.gov/41054801/,Exendin-4 based GLP-1RA.,False,VERIFIED,VERIFIED,Incretin-based,GLP-1,True,False,False
NCT02870231,liraglutide,Novo Nordisk A/S,INDUSTRY,"Investigating Safety, Tolerability, PK and PD for Multiple Doses of NNC9204-0530 in Combination With Liraglutide in Male and Female Subjects Being Overweight or With Obesity",PHASE1,COMPLETED,liraglutide,liraglutide,Incretin-based,GLP-1,GLP1R,GLP-1 receptor agonist,peptide,mono,True,VERIFIED,high,https://pubmed.ncbi.nlm.nih.gov/41054801/,GLP-1 analogue.,False,VERIFIED,VERIFIED,Incretin-based,GLP-1,True,False,False
NCT02870231,nnc9204-0530,Novo Nordisk A/S,INDUSTRY,"Investigating Safety, Tolerability, PK and PD for Multiple Doses of NNC9204-0530 in Combination With Liraglutide in Male and Female Subjects Being Overweight or With Obesity",PHASE1,COMPLETED,nnc9204-0530,NNC9204-0530,Glucagon pathway,glucagon,GCGR,Glucagon receptor agonist,peptide,mono,False,VERIFIED,high,https://pmc.ncbi.nlm.nih.gov/articles/PMC10304508/,Also known as NN9030.,False,VERIFIED,VERIFIED,Glucagon pathway,glucagon,True,False,False
NCT02896192,setmelanotide,"Rhythm Pharmaceuticals, Inc.",INDUSTRY,Setmelanotide for the Treatment of Early-Onset Pro-Opiomelanocortin (POMC) Deficiency Obesity,PHASE3,COMPLETED,setmelanotide,setmelanotide,Melanocortin,MC4R,MC4R,Melanocortin-4 receptor agonist,peptide,mono,False,VERIFIED,high,https://www.accessdata.fda.gov/drugsatfda_docs/label/2026/213793s009lbl.pdf,Cyclic peptide MC4R agonist used in genetic/syndromic obesity.,False,VERIFIED,VERIFIED,Melanocortin,MC4R,True,False,False
NCT02905864,liraglutide,Henrik Gudbergsen,OTHER,Liraglutide 3 mg for Knee Osteoarthritis,PHASE4,COMPLETED,liraglutide,liraglutide,Incretin-based,GLP-1,GLP1R,GLP-1 receptor agonist,peptide,mono,True,VERIFIED,high,https://pubmed.ncbi.nlm.nih.gov/41054801/,GLP-1 analogue.,False,VERIFIED,VERIFIED,Incretin-based,GLP-1,True,False,False
NCT02909933,liraglutide,University Medical Centre Ljubljana,OTHER,Low Dose Liraglutide and Metformin vs. High Dose Liraglutide Alone in Treatment of Obesity,PHASE4,COMPLETED,liraglutide,liraglutide,Incretin-based,GLP-1,GLP1R,GLP-1 receptor agonist,peptide,mono,True,VERIFIED,high,https://pubmed.ncbi.nlm.nih.gov/41054801/,GLP-1 analogue.,False,VERIFIED,VERIFIED,Incretin-based,GLP-1,True,False,False
NCT02911818,liraglutide,University of Pennsylvania,OTHER,Lifestyle Modification and Liraglutide,PHASE4,COMPLETED,liraglutide,liraglutide,Incretin-based,GLP-1,GLP1R,GLP-1 receptor agonist,peptide,mono,True,VERIFIED,high,https://pubmed.ncbi.nlm.nih.gov/41054801/,GLP-1 analogue.,False,VERIFIED,VERIFIED,Incretin-based,GLP-1,True,False,False
NCT02911818,phentermine,University of Pennsylvania,OTHER,Lifestyle Modification and Liraglutide,PHASE4,COMPLETED,phentermine,phentermine,CNS/appetite,sympathomimetic,noradrenergic/monoaminergic pathways,Sympathomimetic appetite suppression,small molecule,,False,VERIFIED,high,,Established appetite suppressant.,False,VERIFIED,VERIFIED,CNS/appetite,sympathomimetic,True,False,False
NCT02918279,liraglutide,Novo Nordisk A/S,INDUSTRY,Effect of Liraglutide for Weight Management in Pubertal Adolescent Subjects With Obesity,PHASE3,COMPLETED,liraglutide,liraglutide,Incretin-based,GLP-1,GLP1R,GLP-1 receptor agonist,peptide,mono,True,VERIFIED,high,https://pubmed.ncbi.nlm.nih.gov/41054801/,GLP-1 analogue.,False,VERIFIED,VERIFIED,Incretin-based,GLP-1,True,False,False
NCT02920190,liraglutide,University of Miami,OTHER,Antigen-Lipid-Driven Monoclonal Gammopathies Targeting Epicardial Fat,PHASE4,WITHDRAWN,liraglutide,liraglutide,Incretin-based,GLP-1,GLP1R,GLP-1 receptor agonist,peptide,mono,True,VERIFIED,high,https://pubmed.ncbi.nlm.nih.gov/41054801/,GLP-1 analogue.,False,VERIFIED,VERIFIED,Incretin-based,GLP-1,True,False,False
NCT02941042,nnc9204-1177,Novo Nordisk A/S,INDUSTRY,"A First Human Dose Trial Investigating Safety, Tolerability and Pharmacokinetics for Single Doses of NNC9204-1177 in Subjects Being Overweight or With Obesity.",PHASE1,COMPLETED,nnc9204-1177,NNC9204-1177,Incretin-based,GLP-1/glucagon,GLP1R; GCGR,Dual GLP-1/glucagon receptor agonist,peptide,dual,True,VERIFIED,high,https://pubmed.ncbi.nlm.nih.gov/37690519/,Also called NN1177; development stopped after Phase 1 safety findings.,False,VERIFIED,VERIFIED,Incretin-based,GLP-1/glucagon,True,False,False
NCT02958085,cagrilintide,Novo Nordisk A/S,INDUSTRY,"Investigation of Safety, Tolerability, Pharmacokinetics and Pharmacodynamics of Multiple Dosing of NNC0174-0833 in Subjects With Obesity or Overweight",PHASE1,COMPLETED,cagrilintide,cagrilintide,Amylin-based,amylin,AMY1R; AMY2R; AMY3R; CTR,Long-acting amylin/calcitonin receptor agonist,peptide,multi,False,VERIFIED,high,https://pubmed.ncbi.nlm.nih.gov/42452898/,Long-acting amylin analogue with activity across amylin receptors and CTR.,False,VERIFIED,VERIFIED,Amylin-based,amylin,True,False,False
NCT02963922,liraglutide,Novo Nordisk A/S,INDUSTRY,Effect and Safety of Liraglutide 3.0 mg in Subjects With Overweight or Obesity and Type 2 Diabetes Mellitus Treated With Basal Insulin,PHASE3,COMPLETED,liraglutide,liraglutide,Incretin-based,GLP-1,GLP1R,GLP-1 receptor agonist,peptide,mono,True,VERIFIED,high,https://pubmed.ncbi.nlm.nih.gov/41054801/,GLP-1 analogue.,False,VERIFIED,VERIFIED,Incretin-based,GLP-1,True,False,False
