therapy_identity_final,trial_count,pair_count,source_label_count,mechanism_superfamily_final,mechanism_family_final,molecular_targets,mechanism_action,modality,agonist_order,incretin_based,identity_classification_state,has_mapping_conflict,mapping_conflict_detail
zovaglutide,6,6,2,Incretin-based,GLP-1,GLP1R,Ultra-long-acting GLP-1 receptor agonist,peptide,mono,True,VERIFIED,False,
da-302168s,5,5,1,Incretin-based,GLP-1,GLP1R,GLP-1 receptor agonist,small molecule,mono,True,VERIFIED,False,
efsubaglutide alfa,5,5,1,Incretin-based,GLP-1,GLP1R,Long-acting GLP-1 receptor agonist,Fc-fusion protein,mono,True,VERIFIED,False,
hsg4112,5,5,1,Metabolic/energy expenditure,energy expenditure,molecular target not established,Increases energy expenditure with secondary reduction in food intake,small molecule,,False,VERIFIED,False,
lisdexamfetamine,5,5,1,CNS/appetite,catecholaminergic,DAT/NET pathways via dextroamphetamine,Prodrug stimulant increasing central catecholaminergic signalling,small molecule,,False,VERIFIED,False,
macupatide,5,5,2,Incretin-based,GIP,GIPR,Long-acting GIP receptor agonist,large-molecule biologic,mono,True,VERIFIED,False,
nnc0662-0419,5,5,1,Undisclosed / insufficient public information,Undisclosed,,,,,,UNRESOLVED_PUBLIC_INFO,False,
olatorepatide,5,6,4,Incretin-based,GLP-1/GIP,GLP1R; GIPR,Dual GLP-1/GIP receptor agonist,peptide,dual,True,VERIFIED,False,
bimagrumab,4,4,1,Lean-mass preservation,activin receptor blockade,ActRIIA; ActRIIB,Activin type II receptor-blocking antibody,monoclonal antibody,,False,VERIFIED,False,
bupropion,4,4,1,CNS/appetite,catecholaminergic,NET; DAT,Norepinephrine/dopamine reuptake inhibition,small molecule,,False,VERIFIED,False,
dapagliflozin,4,4,3,Renal/glucose transport,SGLT2,SLC5A2 (SGLT2),SGLT2 inhibition,small molecule,,False,VERIFIED,False,
hdm1002,4,5,4,Incretin-based,GLP-1,GLP1R,Selective cAMP-biased GLP-1 receptor agonism,small molecule,mono,True,VERIFIED,False,
licogliflozin,4,4,1,Renal/glucose transport,SGLT1/2,SLC5A1 (SGLT1); SLC5A2 (SGLT2),Dual sodium-glucose cotransporter 1/2 inhibitor,small molecule,,False,VERIFIED,False,
lorcaserin,4,4,1,CNS/appetite,serotonergic appetite,HTR2C (5-HT2C),5-HT2C receptor agonist,small molecule,mono,False,VERIFIED,False,
mdr-001,4,4,1,Incretin-based,GLP-1,GLP1R,Biased selective GLP-1 receptor agonist,small molecule,mono,True,VERIFIED,False,
naperiglipron,4,4,1,Incretin-based,GLP-1,GLP1R,GLP-1 receptor agonist,small molecule,mono,True,VERIFIED,False,
nnc0519-0130,4,4,1,Undisclosed / insufficient public information,Undisclosed,,,,,,UNRESOLVED_PUBLIC_INFO,False,
ray1225,4,4,1,Incretin-based,GLP-1/GIP,GLP1R; GIPR,Biased dual GLP-1/GIP receptor agonist,peptide,dual,True,VERIFIED,False,
ro7795081,4,4,2,Incretin-based,GLP-1,GLP1R,cAMP-biased GLP-1 receptor agonism,small molecule,mono,True,VERIFIED,False,
topiramate,4,4,1,CNS/appetite,anticonvulsant/appetite,GABA-A; AMPA/kainate; carbonic anhydrase (pleiotropic),Pleiotropic CNS appetite-modulating effects,small molecule,,False,VERIFIED,False,
unspecified GLP-1 receptor agonist,4,4,3,Incretin-based,GLP-1,GLP1R,GLP-1 receptor agonism,unspecified,mono,True,VERIFIED,False,
EMP16 (orlistat + acarbose),3,4,3,GI nutrient absorption,lipase + carbohydrate-digestion inhibition,gastric/pancreatic lipases; intestinal alpha-glucosidases/amylase,Modified-release combination reduces fat absorption and delays carbohydrate digestion,small-molecule combination/formulation,,False,VERIFIED,False,
azd9550,3,3,1,Incretin-based,GLP-1/glucagon,GLP1R; GCGR,Dual GLP-1/glucagon receptor agonist,peptide,dual,True,VERIFIED,False,
benaglutide,3,3,2,Incretin-based,GLP-1,GLP1R,GLP-1 receptor agonist,peptide,mono,True,VERIFIED,False,
bi 3034701,3,3,1,Incretin-based,GLP-1/GIP/NPY2,GLP1R; GIPR; NPY2R,Triple GLP-1/GIP/NPY2 receptor agonist,peptide,triple,True,VERIFIED,False,
bivamelagon,3,3,2,Melanocortin,MC4R,MC4R,Melanocortin-4 receptor agonist,small molecule,mono,False,VERIFIED,False,
dapagliflozin + metformin,3,3,3,Metabolic combination,SGLT2 + biguanide,SLC5A2 (SGLT2); mitochondrial/AMPK-associated metformin pathways,Combined SGLT2 inhibition and metformin insulin-sensitising/metabolic effects,small-molecule combination,combination,False,VERIFIED,False,
dulaglutide,3,3,1,Incretin-based,GLP-1,GLP1R,GLP-1 receptor agonist,Fc-fusion protein,mono,True,VERIFIED,False,
elecoglipron,3,3,2,Incretin-based,GLP-1,GLP1R,GLP-1 receptor agonist,small molecule,mono,True,VERIFIED,False,
empagliflozin,3,3,1,Renal/glucose transport,SGLT2,SLC5A2 (SGLT2),SGLT2 inhibitor,small molecule,,False,VERIFIED,False,
enicepatide,3,3,1,Incretin-based,GLP-1/GIP,GLP1R; GIPR,Dual GLP-1/GIP receptor agonist,peptide,dual,True,VERIFIED,False,
hrs-4729,3,3,1,Incretin-based,GLP-1/GIP/glucagon,GLP1R; GIPR; GCGR,Triple GLP-1/GIP/glucagon receptor agonist,peptide,triple,True,VERIFIED,False,
hu6,3,3,1,Metabolic/energy expenditure,mitochondrial uncoupling,mitochondrial proton gradient / oxidative phosphorylation,Controlled mitochondrial uncoupling increases resting energy expenditure and fat oxidation,small molecule,,False,VERIFIED,False,
jnj-64565111,3,7,4,Incretin-based,GLP-1/glucagon,GLP1R; GCGR,Dual GLP-1/glucagon receptor agonist,peptide,dual,True,VERIFIED,False,
lotiglipron,3,3,1,Incretin-based,GLP-1,GLP1R,GLP-1 receptor agonist,small molecule,mono,True,VERIFIED,False,
tg103,3,3,1,Incretin-based,GLP-1,GLP1R,Long-acting GLP-1 receptor agonist,Fc-fusion protein,mono,True,VERIFIED,False,
ASC30,2,2,1,Incretin-based,GLP-1,GLP1R,Fully biased GLP-1 receptor agonist without β-arrestin recruitment,small molecule,mono,True,VERIFIED,False,
AZD6234 + AZD9550,2,2,2,Incretin + amylin,amylin + GLP-1/glucagon combination,amylin receptors; GLP1R; GCGR,Combination of selective amylin-receptor agonism with dual GLP-1/glucagon agonism,peptide combination,combination,True,VERIFIED,False,
K-757 + K-833,2,2,1,GI/pancreatic nutrient sensing,GPR40 + GPR119,FFAR1 (GPR40); GPR119,Combined GPR40 and GPR119 agonism enhances endogenous incretin and insulin secretion through complementary nutrient-sensing pathways,small-molecule combination,combination,False,VERIFIED,False,
KD101,2,2,1,Metabolic/energy expenditure,energy metabolism,direct molecular target not publicly established,Promotes energy metabolism without primary appetite suppression,small molecule / purified natural-product-derived compound,,False,VERIFIED,False,
MET233,2,2,1,Amylin-based,amylin,amylin receptors,Ultra-long-acting amylin receptor agonist,peptide,multi,False,VERIFIED,False,
MK-3655,2,2,1,Metabolic/FGF21 pathway,FGFR1c/beta-Klotho,FGFR1c; KLB,Agonistic antibody selectively activating the beta-Klotho/FGFR1c complex,monoclonal antibody,,False,VERIFIED,False,
MWN105,2,2,1,Incretin + metabolic/hepatokine,GLP-1/GIP/FGF21,GLP1R; GIPR; FGFR1c/β-Klotho pathway,"Unimolecular activation of GLP-1, GIP and FGF21 pathways",multi-domain biologic,multi,True,VERIFIED,False,
NA-931,2,2,1,Incretin + growth-factor,IGF-1/GLP-1/GIP/glucagon,IGF1R pathway; GLP1R; GIPR; GCGR,"Quadruple IGF-1, GLP-1, GIP and glucagon pathway agonism",multi-agonist biologic,quadruple,True,VERIFIED,False,
NNC0165-1562,2,2,1,CNS/appetite,PYY,NPY2R-dominant PYY pathway,Long-acting peptide YY analogue,peptide,mono,False,VERIFIED,False,
NNC9204-0530,2,2,1,Glucagon pathway,glucagon,GCGR,Glucagon receptor agonist,peptide,mono,False,VERIFIED,False,
NNC9204-1177,2,2,1,Incretin-based,GLP-1/glucagon,GLP1R; GCGR,Dual GLP-1/glucagon receptor agonist,peptide,dual,True,VERIFIED,False,
NT-0796,2,2,1,Inflammation/metabolic,NLRP3 inflammasome,NLRP3,NLRP3 inflammasome inhibitor,small molecule,,False,VERIFIED,False,
PF-07976016,2,2,1,Undisclosed / insufficient public information,Undisclosed,,,,,,UNRESOLVED_PUBLIC_INFO,False,
PG-102,2,2,1,Incretin-based,GLP-1/GLP-2,GLP1R; GLP2R,Bispecific dual GLP-1/GLP-2 receptor agonist,Fc-fusion protein,dual,True,VERIFIED,False,
RGT-075,2,2,1,Incretin-based,GLP-1,GLP1R,Full GLP-1 receptor agonist,small molecule,mono,True,VERIFIED,False,
S-309309,2,2,1,GI nutrient absorption/metabolism,MGAT2 inhibition,MOGAT2 (MGAT2),Monoacylglycerol acyltransferase-2 inhibitor,small molecule,,False,VERIFIED,False,
SYH2069,2,2,1,Incretin-based,GLP-1/GIP,GLP1R; GIPR,Dual-biased GLP-1/GIP receptor agonist,peptide,dual,True,VERIFIED,False,
SYH2082,2,2,1,Incretin-based,GLP-1/GIP,GLP1R; GIPR,Long-acting dual GLP-1/GIP receptor agonist,peptide,dual,True,VERIFIED,False,
THDBH120,2,2,1,Incretin-based,GLP-1/GIP,GLP1R; GIPR,Long-acting dual GLP-1/GIP receptor agonist,peptide,dual,True,VERIFIED,False,
TQF3250,2,2,1,Undisclosed / insufficient public information,Undisclosed,,,,,,UNRESOLVED_PUBLIC_INFO,False,
ZT006,2,2,1,Incretin-based,GLP-1,GLP1R,GLP-1 receptor agonist,oral peptide,mono,True,VERIFIED,False,
abbv-295,2,2,1,Amylin-based,amylin,amylin receptors,Long-acting amylin analogue,peptide,multi,False,VERIFIED,False,
ard-101,2,2,1,GI/CNS gut-brain appetite,TAS2R bitter-taste receptor,TAS2R family,Gut-restricted bitter-taste receptor agonism modulating hunger/satiety via gut-brain signalling,small molecule,,False,VERIFIED,False,
bgm1812,2,2,1,Amylin-based,amylin/calcitonin,amylin receptors; CTR,Dual amylin and calcitonin receptor agonist (DACRA),peptide,dual,False,VERIFIED,False,
bi 1820237,2,2,1,CNS/appetite,NPY2,NPY2R,Long-acting NPY2 receptor agonist,peptide,mono,False,VERIFIED,False,
cotadutide,2,2,1,Incretin-based,GLP-1/glucagon,GLP1R; GCGR,Dual GLP-1/glucagon receptor agonist,peptide,dual,True,VERIFIED,False,
cpx101,2,2,1,Undisclosed / insufficient public information,Undisclosed,,,,,,UNRESOLVED_PUBLIC_INFO,False,
cs0159,2,2,1,Undisclosed / insufficient public information,Undisclosed,,,,,,UNRESOLVED_PUBLIC_INFO,False,
dapiglutide,2,2,1,Incretin-based,GLP-1/GLP-2,GLP1R; GLP2R,Dual GLP-1/GLP-2 receptor agonist,peptide,dual,True,VERIFIED,False,
emugrobart,2,2,1,Lean-mass preservation,myostatin blockade,MSTN (myostatin/GDF8),Recycling/antigen-sweeping anti-myostatin monoclonal antibody,monoclonal antibody,,False,VERIFIED,False,
enobosarm,2,2,1,Lean-mass preservation,androgen receptor modulation,AR,Selective androgen receptor modulation to preserve/increase lean mass,small molecule,,False,VERIFIED,False,
erx1000,2,2,1,CNS/appetite,leptin sensitisation,leptin signalling pathway (direct molecular target undisclosed),Restores leptin sensitivity to reduce appetite and defend energy expenditure,small molecule,,False,VERIFIED,False,
garetosmab,2,2,1,Lean-mass preservation,activin A blockade,Activin A (INHBA),Neutralising anti-activin A antibody,monoclonal antibody,,False,VERIFIED,False,
hm15275,2,2,1,Incretin-based,GLP-1/GIP/glucagon,GLP1R; GIPR; GCGR,Triple GLP-1/GIP/glucagon receptor agonist,peptide,triple,True,VERIFIED,False,
hrs-5817,2,2,1,Undisclosed / insufficient public information,Undisclosed,,,,,,UNRESOLVED_PUBLIC_INFO,False,
ibi3032,2,2,1,Incretin-based,GLP-1,GLP1R,Selective cAMP-biased GLP-1 receptor agonist,small molecule,mono,True,VERIFIED,False,
ibi3042,2,2,1,Incretin-based,GLP-1,GLP1R,GLP-1 receptor agonist,small molecule,mono,True,VERIFIED,False,
mibavademab,2,2,1,Leptin pathway,leptin receptor,LEPR,Agonistic leptin-receptor monoclonal antibody,monoclonal antibody,mono,False,VERIFIED,False,
naltrexone,2,2,1,CNS/appetite,opioid,OPRM1,Opioid receptor antagonism,small molecule,,False,VERIFIED,False,
onabotulinumtoxinA,2,2,2,GI motility/appetite,cholinergic neuromuscular blockade,SNAP25 / acetylcholine-release machinery,"Botulinum toxin-mediated inhibition of acetylcholine release, used intragastrically to alter gastric motility/satiety",protein toxin biologic,,False,VERIFIED,False,
pemvidutide,2,2,1,Incretin-based,GLP-1/glucagon,GLP1R; GCGR,Dual GLP-1/glucagon receptor agonist,peptide,dual,True,VERIFIED,False,
pioglitazone,2,2,1,Metabolic/insulin sensitisation,PPAR-gamma,PPARG,PPAR-gamma agonist,small molecule,mono,False,VERIFIED,False,
semaglutide or tirzepatide,2,2,1,Incretin-based,GLP-1-based mixed class,GLP1R; optionally GIPR,Registry class label covering either semaglutide or tirzepatide,peptide / mixed class label,mixed,True,VERIFIED,False,
zalfermin,2,2,1,Metabolic/FGF21 pathway,FGF21,FGFR1c/FGFR3c + KLB,Long-acting FGF21-receptor agonist analogue,peptide/protein analogue,,False,VERIFIED,False,
ALN-2232,1,1,1,Adipose signalling/RNAi,ALK7/ACVR1C,ACVR1C (ALK7),RNA interference-mediated silencing of ACVR1C/ALK7,siRNA,,False,VERIFIED,False,
ALN-6222,1,1,1,Adipose signalling/RNAi,INHBE/activin E,INHBE,RNA interference-mediated silencing of hepatic INHBE/activin E,siRNA,,False,VERIFIED,False,
ALV-100,1,1,1,Incretin-based,GLP-1 agonism + GIP antagonism,GLP1R; GIPR,GLP-1 receptor agonist peptide fused to a GIP-receptor antagonist antibody,antibody-peptide fusion,,True,VERIFIED,False,
ALY688-SR,1,1,1,Adiponectin pathway,adiponectin receptor,ADIPOR1; ADIPOR2,Adiponectin-derived peptide agonising adiponectin-receptor signalling,peptidomimetic peptide,,False,VERIFIED,False,
AMG 171,1,1,1,CNS/appetite,GDF15/GFRAL,GDF15; GFRAL/RET pathway,Long-acting GDF15 agonism suppressing food intake via GFRAL/RET,GDF15-Fc fusion protein,mono,False,VERIFIED,False,
AMG 598,1,1,1,Undisclosed / insufficient public information,Undisclosed,,,,,,UNRESOLVED_PUBLIC_INFO,False,
AMG 786,1,1,1,Undisclosed / insufficient public information,Undisclosed,,,,,,UNRESOLVED_PUBLIC_INFO,False,
ARO-ALK7,1,1,1,Adipose signalling/RNAi,ALK7/ACVR1C,ACVR1C (ALK7),Adipocyte-targeted RNA interference reduces ALK7 expression,siRNA,,False,VERIFIED,False,
ARO-INHBE,1,1,1,Adipose signalling/RNAi,INHBE/activin E,INHBE,Hepatocyte-targeted RNA interference reduces INHBE/activin E,siRNA,,False,VERIFIED,False,
AT673,1,2,2,Incretin pathway modulation,GIP antagonism,GIPR,GIP receptor antagonism,peptide,mono,True,VERIFIED,False,
AZD1043,1,1,1,Undisclosed / insufficient public information,Undisclosed,,,,,,UNRESOLVED_PUBLIC_INFO,False,
BGE-102,1,1,1,Inflammation/metabolic,NLRP3 inflammasome,NLRP3,NLRP3 inflammasome inhibition,small molecule,,False,VERIFIED,False,
BI 1356225,1,1,1,CNS/appetite,ghrelin/GOAT,MBOAT4 (GOAT),Ghrelin-O-acyltransferase inhibition reduces formation of active acylated ghrelin,small molecule,,False,VERIFIED,False,
BI 3006337,1,1,1,Undisclosed / insufficient public information,Undisclosed,,,,,,UNRESOLVED_PUBLIC_INFO,False,
BIO101,1,1,1,Lean-mass preservation,MAS receptor / muscle preservation,MAS1,MAS-receptor activation supporting muscle anabolism and function during GLP-1-associated weight loss,small molecule,,False,VERIFIED,False,
BMF-650,1,1,1,Incretin-based,GLP-1,GLP1R,GLP-1 receptor agonist,small molecule,mono,True,VERIFIED,False,
BMS-963272,1,1,1,GI nutrient absorption/metabolism,MGAT2 inhibition,MOGAT2 (MGAT2),Monoacylglycerol acyltransferase-2 inhibition,small molecule,,False,VERIFIED,False,
CG-0416,1,1,1,Metabolic/energy expenditure,THR-beta,THRB,Liver-targeted thyroid hormone receptor-beta agonist,small molecule,mono,False,VERIFIED,False,
CK-0045,1,1,1,Cytokine/metabolic,IL-22 receptor,IL22RA1; IL10RB,Long-acting IL-22 receptor agonism,lipidated cytokine/peptide biologic,mono,False,VERIFIED,False,
CMS-D008,1,1,1,Adipose signalling/RNAi,INHBE/activin E,INHBE,"siRNA-mediated silencing of hepatic INHBE, lowering activin E and blocking activin E-ALK7 signalling",siRNA,,False,VERIFIED,False,
CRB-913,1,1,1,CNS/peripheral appetite-metabolic,CB1 inverse agonism,CNR1 (CB1),Highly peripherally restricted cannabinoid-1 receptor inverse agonism,small molecule,mono,False,VERIFIED,False,
CT-868,1,1,1,Incretin-based,GLP-1/GIP,GLP1R; GIPR,Fully biased dual GLP-1/GIP receptor agonism,peptide,dual,True,VERIFIED,False,
Cyclo-Z,1,1,1,Metabolic/insulin-leptin sensitisation,insulin/leptin sensitisation,direct molecular target not established,Cyclo(His-Pro) plus zinc formulation intended to improve insulin and leptin sensitivity,cyclic dipeptide + zinc combination,,False,VERIFIED,False,
DA-1726,1,1,1,Incretin-based,GLP-1/glucagon,GLP1R; GCGR,Dual GLP-1/glucagon receptor agonism,peptide,dual,True,VERIFIED,False,
DMXB-A,1,1,1,CNS/appetite,alpha7 nicotinic receptor,CHRNA7 (alpha7 nAChR),Partial agonism of alpha7 nicotinic acetylcholine receptors,small molecule,mono,False,VERIFIED,False,
DR10624,1,1,1,Incretin + metabolic/hepatokine,GLP-1/glucagon/FGF21,GLP1R; GCGR; FGF21 receptor pathway,"Balanced tri-agonism of GLP-1R, glucagon receptor and FGF21 receptor pathways",Fc-fusion protein,triple,True,VERIFIED,False,
ECC4703,1,1,1,Metabolic/energy expenditure,THR-beta,THRB,Liver-targeted thyroid hormone receptor-beta agonism,small molecule,mono,False,VERIFIED,False,
ENT-03,1,1,1,CNS/metabolic,PTP1B inhibition,PTPN1 (PTP1B),Centrally acting allosteric PTP1B inhibition affecting hypothalamic insulin/leptin signalling,aminosterol small molecule,,False,VERIFIED,False,
G3215,1,1,1,Incretin-based,GLP-1/glucagon,GLP1R; GCGR,Dual GLP-1/glucagon receptor agonism,peptide,dual,True,VERIFIED,False,
GLY-200,1,1,1,GI nutrient sensing/barrier,pharmacologic duodenal exclusion,proximal intestinal mucin barrier,Non-absorbed polymer binds/crosslinks proximal intestinal mucin to mimic duodenal exclusion physiology,oral non-absorbed polymeric drug,,False,VERIFIED,False,
GMA106,1,1,1,Incretin-based,GLP-1 agonism + GIP antagonism,GLP1R; GIPR,GLP-1 receptor agonism combined with GIP-receptor antagonism,antibody-peptide fusion,,True,VERIFIED,False,
GUB-UCN2,1,1,1,Lean-mass preservation,UCN2/CRHR2,CRHR2,Long-acting urocortin-2 analogue selectively activating CRHR2 to increase muscle mass and reduce fat mass,peptide,mono,False,VERIFIED,False,
GUB014295,1,1,1,Amylin-based,amylin/calcitonin,amylin receptors; CTR,Long-acting agonism of amylin and calcitonin receptors,peptide,multi,False,VERIFIED,False,
GZC8072,1,1,1,Incretin-based,GLP-1,GLP1R,Ultra-long-acting GLP-1 receptor agonism,oral peptide,mono,True,VERIFIED,False,
HEC88473,1,1,1,Incretin + metabolic/hepatokine,GLP-1/FGF21,GLP1R; FGFR1c/KLB pathway,Dual GLP-1 and FGF21 receptor-pathway agonism,Fc-fusion protein,dual,True,VERIFIED,False,
HM15136,1,1,1,Glucagon pathway,glucagon,GCGR,Long-acting glucagon receptor agonism,peptide,mono,False,VERIFIED,False,
HM17321,1,1,1,Lean-mass preservation,UCN2/CRFR2,CRHR2,Urocortin-2 analogue selectively activating CRFR2 to increase lean mass while reducing fat mass,peptide,mono,False,VERIFIED,False,
HS235,1,1,1,Lean-mass preservation,activin/GDF ligand trap,activin/GDF ligands in ActRII signalling,Selective ligand trapping of activins and GDFs controlling body composition,Fc-fusion ligand trap,,False,VERIFIED,False,
JY09,1,1,1,Incretin-based,GLP-1,GLP1R,Long-acting GLP-1 receptor agonism,Fc-fusion protein,mono,True,VERIFIED,False,
NNC0480-0389,1,1,1,Incretin-based,GIP,GIPR,Long-acting GIP receptor agonism,peptide,mono,True,VERIFIED,False,
RM-718,1,1,1,Melanocortin,MC4R,MC4R,Selective melanocortin-4 receptor agonist,cyclic peptide,mono,False,VERIFIED,False,
SA030,1,1,1,Adipose signalling/RNAi,ALK7/ACVR1C,ACVR1C (ALK7),Adipose-targeting siRNA-mediated silencing of ALK7,siRNA,,False,VERIFIED,False,
acarbose,1,1,1,GI nutrient absorption,alpha-glucosidase inhibition,intestinal alpha-glucosidases,Delays intestinal carbohydrate digestion and absorption,small molecule,,False,VERIFIED,False,
apitegromab,1,1,1,Lean-mass preservation,myostatin activation blockade,latent/promyostatin,Monoclonal antibody selectively inhibiting activation of myostatin,monoclonal antibody,,False,VERIFIED,False,
approved chronic weight-management medication class,1,1,1,Mixed/unspecified,mixed approved anti-obesity pharmacotherapy,,Pragmatic class label covering approved chronic weight-management drugs,mixed class,mixed,,VERIFIED,False,
atomoxetine,1,1,1,CNS/appetite,noradrenergic,NET (SLC6A2),Selective norepinephrine reuptake inhibition,small molecule,,False,VERIFIED,False,
azelaprag,1,1,1,Exercise-mimetic/metabolic,apelin receptor,APLNR (APJ),Apelin receptor agonist,small molecule,mono,False,VERIFIED,False,
bardoxolone methyl,1,1,1,Metabolic/oxidative stress,Nrf2 activation,KEAP1-NRF2 pathway,Electrophilic KEAP1 modulation leading to NRF2 pathway activation,small molecule,,False,VERIFIED,False,
bremelanotide,1,1,1,Melanocortin,MC4R,MC4R,Melanocortin-4 receptor agonist,peptide,mono,False,VERIFIED,False,
brenipatide,1,1,1,Incretin-based,GLP-1/GIP,GLP1R; GIPR,Dual GLP-1/GIP receptor agonist,large-molecule biologic,dual,True,VERIFIED,False,
bromocriptine,1,1,1,CNS/appetite,dopaminergic,DRD2,Dopamine D2 receptor agonism,small molecule,mono,False,VERIFIED,False,
