nct_id,brief_title,official_title,phase,overall_status,start_date,primary_completion_date,completion_date,first_posted_date,last_update_date,enrollment,enrollment_type,lead_sponsor,lead_sponsor_class,conditions,primary_purpose,allocation,intervention_model,masking,sex,minimum_age,maximum_age,healthy_volunteers,brief_summary,start_date_parsed,pharmacological_interventions,primary_outcome_measures,primary_outcome_timeframes,primary_outcome_descriptions,review_text,include_signal,exclude_signal,primary_outcome_text,direct_weight_outcome_signal,same_programme_weight_evidence_signal,development_context_signal,development_enabling_signal,positive_obesity_signal,review_category,auto_review_category,final_decision,final_decision_reason,final_decision_source,phase_group,phase_order,status_group,lead_sponsor_clean,sponsor_class_clean,focal_therapy_pair_count,focal_source_label_count,focal_identity_count,verified_mechanism_pair_count,multi_focal_trial,start_date_raw,start_year,start_month,start_day,start_date_precision,year_display,start_date_exact_for_comparison,start_timing_vs_snapshot,started_by_snapshot_conservative
NCT03866408,Insulin Regulation of Lipolysis and Lipolysis Proteins,Insulin Regulation of Lipolysis and Lipolysis Proteins,EARLY_PHASE1,RECRUITING,2018-11-12,2026-12-30,2026-12-31,2019-03-07,2026-01-28,64.0,ESTIMATED,Mayo Clinic,OTHER,Obesity,BASIC_SCIENCE,RANDOMIZED,PARALLEL,TRIPLE,ALL,18 Years,55 Years,True,"These studies will define the abnormalities in the adipocyte proteins that are involved in the failure of insulin to suppress lipolysis normally in humans with upper body obesity and will help discover the mechanism by which pioglitazone, a medication used to treat type 2 diabetes and improve insulin resistance, improves insulin-regulation of adipocyte fatty acid metabolism.",2018-11-12,Pioglitazone; Placebo,"Adipocyte response to insulin - perilipin 1 and FSP27 relative to HSL and ATGL; Adipocyte response to insulin - adipocyte G0S2 relative to ATGL.; Adipocyte response to insulin - adipocyte CGI-58 relative to ATGL; Adipocyte response to insulin - perilipin 1, ATGL and HSL phosphorylation",4-9 months,"In response to weight maintenance vs. weight loss with pioglitazone vs. placebo, insulin regulation of lipolysis in upper body obese as measured by insulin IC50 for palmitate flux and compared to adipocyte perilipin 1 and FSP27 relative to HSL and ATGL.; In response to weight maintenance vs. weight loss with pioglitazone vs. placebo, insulin regulation of lipolysis in upper body obese as measured by insulin IC50 for palmitate flux and compared to adipocyte G0S2 relative to ATGL.; In response to weight maintenance vs. weight loss with pioglitazone vs. placebo, insulin regulation of lipolysis in upper body obese as measured by insulin IC50 for palmitate flux and compared to adipocyte CGI-58 relative to ATGL.; In response to weight maintenance vs. weight loss with pioglitazone vs. placebo, insulin regulation of lipolysis in upper body obese as measured by insulin IC50 for palmitate flux and compared to adipocyte perilipin 1, ATGL and HSL phosphorylation in response to insulin.","insulin regulation of lipolysis and lipolysis proteins insulin regulation of lipolysis and lipolysis proteins obesity these studies will define the abnormalities in the adipocyte proteins that are involved in the failure of insulin to suppress lipolysis normally in humans with upper body obesity and will help discover the mechanism by which pioglitazone, a medication used to treat type 2 diabetes and improve insulin resistance, improves insulin-regulation of adipocyte fatty acid metabolism. pioglitazone; placebo adipocyte response to insulin - perilipin 1 and fsp27 relative to hsl and atgl; adipocyte response to insulin - adipocyte g0s2 relative to atgl.; adipocyte response to insulin - adipocyte cgi-58 relative to atgl; adipocyte response to insulin - perilipin 1, atgl and hsl phosphorylation in response to weight maintenance vs. weight loss with pioglitazone vs. placebo, insulin regulation of lipolysis in upper body obese as measured by insulin ic50 for palmitate flux and compared to adipocyte perilipin 1 and fsp27 relative to hsl and atgl.; in response to weight maintenance vs. weight loss with pioglitazone vs. placebo, insulin regulation of lipolysis in upper body obese as measured by insulin ic50 for palmitate flux and compared to adipocyte g0s2 relative to atgl.; in response to weight maintenance vs. weight loss with pioglitazone vs. placebo, insulin regulation of lipolysis in upper body obese as measured by insulin ic50 for palmitate flux and compared to adipocyte cgi-58 relative to atgl.; in response to weight maintenance vs. weight loss with pioglitazone vs. placebo, insulin regulation of lipolysis in upper body obese as measured by insulin ic50 for palmitate flux and compared to adipocyte perilipin 1, atgl and hsl phosphorylation in response to insulin.",True,False,"adipocyte response to insulin - perilipin 1 and fsp27 relative to hsl and atgl; adipocyte response to insulin - adipocyte g0s2 relative to atgl.; adipocyte response to insulin - adipocyte cgi-58 relative to atgl; adipocyte response to insulin - perilipin 1, atgl and hsl phosphorylation in response to weight maintenance vs. weight loss with pioglitazone vs. placebo, insulin regulation of lipolysis in upper body obese as measured by insulin ic50 for palmitate flux and compared to adipocyte perilipin 1 and fsp27 relative to hsl and atgl.; in response to weight maintenance vs. weight loss with pioglitazone vs. placebo, insulin regulation of lipolysis in upper body obese as measured by insulin ic50 for palmitate flux and compared to adipocyte g0s2 relative to atgl.; in response to weight maintenance vs. weight loss with pioglitazone vs. placebo, insulin regulation of lipolysis in upper body obese as measured by insulin ic50 for palmitate flux and compared to adipocyte cgi-58 relative to atgl.; in response to weight maintenance vs. weight loss with pioglitazone vs. placebo, insulin regulation of lipolysis in upper body obese as measured by insulin ic50 for palmitate flux and compared to adipocyte perilipin 1, atgl and hsl phosphorylation in response to insulin.",True,True,False,False,True,LIKELY_INCLUDE,LIKELY_INCLUDE,INCLUDE,Automatic include retained without further audit because the trial had strong weight-outcome and/or same-programme obesity-development evidence.,AUTO_STRONG_INCLUDE,Early Phase 1,1,Active / recruiting,Mayo Clinic,OTHER,1,1,1,1,False,2018-11-12,2018,11,12,DAY,2018,2018-11-12,BEFORE_SNAPSHOT,True
NCT06693843,"A Phase 2b, Dose-range Finding Study of the Efficacy and Safety of Multiple Doses of Aleniglipron (GSBR-1290) in Participants Living With Obesity or Overweight With at Least One Weight-related Comorbidity","A Phase 2b, Randomized, Double-blind, Placebo-controlled, Dose-range Finding Study of the Efficacy and Safety of Multiple Doses of Aleniglipron (GSBR-1290) in Participants Living With Obesity (Body Mass Index ≥ 30 kg/m2) or Overweight (Body Mass Index ≥ 27 kg/m2) With at Least One Weight-related Comorbidity",PHASE2,COMPLETED,2024-10-28,2025-10-24,2026-07-09,2024-11-18,2026-08-10,230.0,ACTUAL,"Gasherbrum Bio, Inc., a wholly owned subsidiary of Structure Therapeutics",INDUSTRY,"Obesity, Overweight, or Chronic Weight Management",TREATMENT,RANDOMIZED,PARALLEL,TRIPLE,ALL,18 Years,79 Years,False,"This study is a randomized, double-blind, placebo-controlled, dose-range finding study of the efficacy, safety, tolerability, PK, and PD of multiple doses of aleniglipron in participants living with overweight or obesity with at least one weight-related comorbidity. Participants will be randomized to aleniglipron or placebo in a ratio of 3:1 within each Cohort receiving multiple-ascending, QD doses of aleniglipron or placebo in titration steps of 4 weeks duration for a total of 36 weeks of treatment. At the end of the study (after completing 36 weeks of treatment), participants will be offered to continue with an open-label extension (OLE) where they will receive aleniglipron for an additional 36 weeks.",2024-10-28,Aleniglipron; Aleniglipron or Placebo,"Percent change in body weight from Baseline to Week 36; TEAEs and SAEs; AESI; Evaluate the safety and tolerability of participants with abnormal laboratory values, including hematology, serum chemistry, and coagulation; Evaluate long-term safety and tolerability of aleniglipron as measured through electrocardiograms (including, but not limited to, the measurements of ventricular HR, PR interval, QRS duration, QT interval, and QTcF); Evaluate the safety and tolerability of participants with abnormal vital signs, including blood pressure, heart rate, and temperature",Baseline and week 36; Baseline and week 72,Double Blind Period; Open -Label Extension,"a phase 2b, dose-range finding study of the efficacy and safety of multiple doses of aleniglipron (gsbr-1290) in participants living with obesity or overweight with at least one weight-related comorbidity a phase 2b, randomized, double-blind, placebo-controlled, dose-range finding study of the efficacy and safety of multiple doses of aleniglipron (gsbr-1290) in participants living with obesity (body mass index ≥ 30 kg/m2) or overweight (body mass index ≥ 27 kg/m2) with at least one weight-related comorbidity obesity, overweight, or chronic weight management this study is a randomized, double-blind, placebo-controlled, dose-range finding study of the efficacy, safety, tolerability, pk, and pd of multiple doses of aleniglipron in participants living with overweight or obesity with at least one weight-related comorbidity. participants will be randomized to aleniglipron or placebo in a ratio of 3:1 within each cohort receiving multiple-ascending, qd doses of aleniglipron or placebo in titration steps of 4 weeks duration for a total of 36 weeks of treatment. at the end of the study (after completing 36 weeks of treatment), participants will be offered to continue with an open-label extension (ole) where they will receive aleniglipron for an additional 36 weeks. aleniglipron; aleniglipron or placebo percent change in body weight from baseline to week 36; teaes and saes; aesi; evaluate the safety and tolerability of participants with abnormal laboratory values, including hematology, serum chemistry, and coagulation; evaluate long-term safety and tolerability of aleniglipron as measured through electrocardiograms (including, but not limited to, the measurements of ventricular hr, pr interval, qrs duration, qt interval, and qtcf); evaluate the safety and tolerability of participants with abnormal vital signs, including blood pressure, heart rate, and temperature double blind period; open -label extension",True,False,"percent change in body weight from baseline to week 36; teaes and saes; aesi; evaluate the safety and tolerability of participants with abnormal laboratory values, including hematology, serum chemistry, and coagulation; evaluate long-term safety and tolerability of aleniglipron as measured through electrocardiograms (including, but not limited to, the measurements of ventricular hr, pr interval, qrs duration, qt interval, and qtcf); evaluate the safety and tolerability of participants with abnormal vital signs, including blood pressure, heart rate, and temperature double blind period; open -label extension",True,True,True,True,True,LIKELY_INCLUDE,LIKELY_INCLUDE,INCLUDE,Automatic include retained without further audit because the trial had strong weight-outcome and/or same-programme obesity-development evidence.,AUTO_STRONG_INCLUDE,Phase 2,4,Completed,"Gasherbrum Bio, Inc., a wholly owned subsidiary of Structure Therapeutics",INDUSTRY,1,1,1,1,False,2024-10-28,2024,10,28,DAY,2024,2024-10-28,BEFORE_SNAPSHOT,True
NCT07533175,AMAZE 2: A Research Study Investigating How Well the Medicine NNC0487-0111 Helps People With Excess Body Weight and Type 2 Diabetes Lose Weight,"Efficacy and Safety of NNC0487-0111 s.c. Once-weekly in Participants With Overweight or Obesity, and Type 2 Diabetes (AMAZE 2)",PHASE3,RECRUITING,2026-04-13,2028-08-07,2028-08-07,2026-04-16,2026-09-04,630.0,ESTIMATED,Novo Nordisk A/S,INDUSTRY,Diabetes Mellitus; Overweight; Obesity,TREATMENT,RANDOMIZED,PARALLEL,QUADRUPLE,ALL,18 Years,,False,The purpose of this clinical study is to find out if NNC0487-0111 is safe and effective for treating people who have excess body weight and type 2 diabetes. There are 2 study treatments in this study taken as injections under the skin once a week. Participants will either get NNC0487-0111 (the treatment being tested) or Placebo (treatment that has no active medicine in it). Which treatment participants get is decided by chance.,2026-04-13,NNC0487-0111; Placebo (matched to NNC0487-0111),Relative change in body weight,From baseline (week 0) to (week 84),Measured as percentage (%) of body weight.,"amaze 2: a research study investigating how well the medicine nnc0487-0111 helps people with excess body weight and type 2 diabetes lose weight efficacy and safety of nnc0487-0111 s.c. once-weekly in participants with overweight or obesity, and type 2 diabetes (amaze 2) diabetes mellitus; overweight; obesity the purpose of this clinical study is to find out if nnc0487-0111 is safe and effective for treating people who have excess body weight and type 2 diabetes. there are 2 study treatments in this study taken as injections under the skin once a week. participants will either get nnc0487-0111 (the treatment being tested) or placebo (treatment that has no active medicine in it). which treatment participants get is decided by chance. nnc0487-0111; placebo (matched to nnc0487-0111) relative change in body weight measured as percentage (%) of body weight.",True,False,relative change in body weight measured as percentage (%) of body weight.,True,True,False,False,True,LIKELY_INCLUDE,LIKELY_INCLUDE,INCLUDE,Automatic include retained without further audit because the trial had strong weight-outcome and/or same-programme obesity-development evidence.,AUTO_STRONG_INCLUDE,Phase 3,6,Active / recruiting,Novo Nordisk A/S,INDUSTRY,1,1,1,1,False,2026-04-13,2026,4,13,DAY,2026 YTD,2026-04-13,BEFORE_SNAPSHOT,True
NCT07257484,Tirzepatide's Role in Postmenopausal HR+ Breast Cancer Survivors,Tirzepatide's Role in Postmenopausal HR+ Breast Cancer Survivors,PHASE4,RECRUITING,2026-06-08,2027-12-03,2028-02-25,2025-12-02,2026-07-22,30.0,ESTIMATED,Weill Medical College of Cornell University,OTHER,Obesity (Disorder); Breast Cancer,TREATMENT,,SINGLE_GROUP,NONE,FEMALE,18 Years,,False,"This study will explore whether tirzepatide is a practical and acceptable treatment for postmenopausal females with a history of hormone receptor-positive breast cancer and obesity. The investigators aim to understand whether participants are willing and able to take this medication once weekly for 6 months and whether it may help improve weight and overall health. There will be monthly check-ins to monitor progress and safety. At the beginning and end of the study, participants will undergo body composition assessments, blood tests and a stool sample will be collected, and surveys will be completed.",2026-06-08,Tirzepatide,Percentage of participants completing week 24 visit with all required assessments,24 weeks,,"tirzepatide's role in postmenopausal hr+ breast cancer survivors tirzepatide's role in postmenopausal hr+ breast cancer survivors obesity (disorder); breast cancer this study will explore whether tirzepatide is a practical and acceptable treatment for postmenopausal females with a history of hormone receptor-positive breast cancer and obesity. the investigators aim to understand whether participants are willing and able to take this medication once weekly for 6 months and whether it may help improve weight and overall health. there will be monthly check-ins to monitor progress and safety. at the beginning and end of the study, participants will undergo body composition assessments, blood tests and a stool sample will be collected, and surveys will be completed. tirzepatide percentage of participants completing week 24 visit with all required assessments ",False,False,percentage of participants completing week 24 visit with all required assessments ,False,False,False,False,False,MANUAL_REVIEW,MANUAL_REVIEW,INCLUDE,Known obesity pharmacotherapy used in an obesity/overweight treatment study,MANUAL_REVIEW,Phase 4,7,Active / recruiting,Weill Medical College of Cornell University,OTHER,1,1,1,1,False,2026-06-08,2026,6,8,DAY,2026 YTD,2026-06-08,BEFORE_SNAPSHOT,True
NCT06478563,A Research Study Looking at Different Oral Formulations and the Effect of Food Intake on How the Medicine NNC0487-0111 Behaves in the Body of Participants Living With Overweight or Obesity,Investigating the Exposure of NNC0487-0111 in Different Oral Formulations and the Effect of Food Intake on Pharmacokinetics of NNC0487-0111 in Participants With Overweight or Obesity,PHASE1,COMPLETED,2024-06-27,2025-06-05,2025-07-01,2024-06-27,2025-08-11,133.0,ACTUAL,Novo Nordisk A/S,INDUSTRY,Obesity; Overweight,TREATMENT,RANDOMIZED,PARALLEL,SINGLE,ALL,18 Years,64 Years,False,"This study consists of two phases: Phase A and Phase B. Participants are being asked to participate in both phases. Phase A of this study is comparing two formulations of a study medicine called NNC0487-0111 for weight control in people with overweight or obesity. Phase B of this study is testing how taking NNC0487-0111 at the same time as a meal affects the way NNC0487-0111 works in participants body. The aim of this study is to compare how two different formulations of NNC0487-0111 behave in the body, and how their function is affected when they are taken with or without a meal. Participants will either get NNC0487-0111 Formulation C, or NNC0487-0111 Formulation D. Both formulations are given as tablets. Which treatment participants get is decided by chance. Oral NNC0487-0111 is a new medicine which cannot be prescribed by doctors but has previously been tested in humans. The study will last for about 5 - 6 months (155-184 days).",2024-06-27,NNC0487-0111 (formulation C); NNC0487-0111 (formulation D),Phase A: The area under the NNC0487-0111 plasma concentration-time curve during a dosing interval at steady state,"From pre-dose to after dosing on days 21, 42, 63, 84, 105 and 126",Measured as hours\*nanomoles per liter (h\*nmol/L),"a research study looking at different oral formulations and the effect of food intake on how the medicine nnc0487-0111 behaves in the body of participants living with overweight or obesity investigating the exposure of nnc0487-0111 in different oral formulations and the effect of food intake on pharmacokinetics of nnc0487-0111 in participants with overweight or obesity obesity; overweight this study consists of two phases: phase a and phase b. participants are being asked to participate in both phases. phase a of this study is comparing two formulations of a study medicine called nnc0487-0111 for weight control in people with overweight or obesity. phase b of this study is testing how taking nnc0487-0111 at the same time as a meal affects the way nnc0487-0111 works in participants body. the aim of this study is to compare how two different formulations of nnc0487-0111 behave in the body, and how their function is affected when they are taken with or without a meal. participants will either get nnc0487-0111 formulation c, or nnc0487-0111 formulation d. both formulations are given as tablets. which treatment participants get is decided by chance. oral nnc0487-0111 is a new medicine which cannot be prescribed by doctors but has previously been tested in humans. the study will last for about 5 - 6 months (155-184 days). nnc0487-0111 (formulation c); nnc0487-0111 (formulation d) phase a: the area under the nnc0487-0111 plasma concentration-time curve during a dosing interval at steady state measured as hours\*nanomoles per liter (h\*nmol/l)",False,False,phase a: the area under the nnc0487-0111 plasma concentration-time curve during a dosing interval at steady state measured as hours\*nanomoles per liter (h\*nmol/l),False,False,True,False,False,MANUAL_REVIEW,MANUAL_REVIEW,INCLUDE,Industry early-phase development study in an obesity/overweight population,MANUAL_REVIEW,Phase 1,2,Completed,Novo Nordisk A/S,INDUSTRY,1,1,1,1,False,2024-06-27,2024,6,27,DAY,2024,2024-06-27,BEFORE_SNAPSHOT,True
NCT05121441,Study to Evaluate ARD-101 in Adults With Obesity,"A Phase 2, Placebo-Controlled, Randomized, Blinded Study to Evaluate the Safety, Tolerability and Preliminary Efficacy of ARD-101 in Adults With Obesity",PHASE2,COMPLETED,2021-11-15,2022-11-09,2022-11-09,2021-11-16,2025-01-22,20.0,ACTUAL,"Aardvark Therapeutics, Inc.",INDUSTRY,Obesity,TREATMENT,RANDOMIZED,PARALLEL,SINGLE,ALL,18 Years,75 Years,False,The purpose of this study is to evaluate safety and efficacy of twice-daily ARD-101 in obese subjects with a body mass index (BMI) of 30-45 kg/m2.,2021-11-15,ARD-101; Placebo,Relative Change in Body Weight (%),"Run-in Visit (baseline), Day 28",The percent total weight change at the end of treatment from baseline,"study to evaluate ard-101 in adults with obesity a phase 2, placebo-controlled, randomized, blinded study to evaluate the safety, tolerability and preliminary efficacy of ard-101 in adults with obesity obesity the purpose of this study is to evaluate safety and efficacy of twice-daily ard-101 in obese subjects with a body mass index (bmi) of 30-45 kg/m2. ard-101; placebo relative change in body weight (%) the percent total weight change at the end of treatment from baseline",False,False,relative change in body weight (%) the percent total weight change at the end of treatment from baseline,True,True,True,True,True,LIKELY_INCLUDE,LIKELY_INCLUDE,INCLUDE,Automatic include retained without further audit because the trial had strong weight-outcome and/or same-programme obesity-development evidence.,AUTO_STRONG_INCLUDE,Phase 2,4,Completed,"Aardvark Therapeutics, Inc.",INDUSTRY,1,1,1,1,False,2021-11-15,2021,11,15,DAY,2021,2021-11-15,BEFORE_SNAPSHOT,True
NCT06254261,A Study of RAY1225 in Participants With Obesity,"A Multicenter, Randomized, Double-blind, Placebo-controlled Phase 2 Study Evaluating the Safety, Tolerability, and Efficacy of RAY1225 in Participants With Obesity",PHASE2,RECRUITING,2024-02-21,2025-12-20,2025-12-20,2024-02-12,2025-03-19,270.0,ESTIMATED,"Guangdong Raynovent Biotech Co., Ltd",INDUSTRY,Obesity,TREATMENT,RANDOMIZED,PARALLEL,DOUBLE,ALL,18 Years,70 Years,False,The main purpose of this study is to learn more about the Tolerability of RAY1225 in participants with Obesity. The study will also explore the efficacy of RAY1225. The study will last about six months for each participant.,2024-02-21,Placebo; RAY1225,Change From Baseline in Body Weight,"Baseline,Week26",Percent Change from Baseline in Body Weight,"a study of ray1225 in participants with obesity a multicenter, randomized, double-blind, placebo-controlled phase 2 study evaluating the safety, tolerability, and efficacy of ray1225 in participants with obesity obesity the main purpose of this study is to learn more about the tolerability of ray1225 in participants with obesity. the study will also explore the efficacy of ray1225. the study will last about six months for each participant. placebo; ray1225 change from baseline in body weight percent change from baseline in body weight",False,False,change from baseline in body weight percent change from baseline in body weight,True,True,True,True,True,LIKELY_INCLUDE,LIKELY_INCLUDE,INCLUDE,Automatic include retained without further audit because the trial had strong weight-outcome and/or same-programme obesity-development evidence.,AUTO_STRONG_INCLUDE,Phase 2,4,Active / recruiting,"Guangdong Raynovent Biotech Co., Ltd",INDUSTRY,1,1,1,1,False,2024-02-21,2024,2,21,DAY,2024,2024-02-21,BEFORE_SNAPSHOT,True
NCT06571383,STEP TEENS Weight Maintenance: A Research Study on How Well Semaglutide Helps Teenagers With Excess Body Weight to Lose Weight and Maintain Weight Loss,Weight Maintenance in Adolescents With Obesity; Long-Term Treatment With Semaglutide s.c.2.4 mg Once-weekly,PHASE4,ACTIVE_NOT_RECRUITING,2024-09-17,2028-11-15,2031-11-15,2024-08-26,2026-06-02,500.0,ESTIMATED,Novo Nordisk A/S,INDUSTRY,Obesity,TREATMENT,,SINGLE_GROUP,NONE,ALL,12 Years,15 Years,False,"The study is testing how well semaglutide can help adolescents with excess body weight to lose weight and to maintain weight loss. All participants in the study will receive semaglutide as a weekly injection. The study medicine is injected with a thin needle in the stomach, thighs or upper arms. All participants will get semaglutide treatment for a minimum of 3 years.",2024-09-17,Semaglutide,Maintenance of Body Mass Index (BMI) below obesity threshold,From 1.5 years to 3 years,Measures as count of participants,"step teens weight maintenance: a research study on how well semaglutide helps teenagers with excess body weight to lose weight and maintain weight loss weight maintenance in adolescents with obesity; long-term treatment with semaglutide s.c.2.4 mg once-weekly obesity the study is testing how well semaglutide can help adolescents with excess body weight to lose weight and to maintain weight loss. all participants in the study will receive semaglutide as a weekly injection. the study medicine is injected with a thin needle in the stomach, thighs or upper arms. all participants will get semaglutide treatment for a minimum of 3 years. semaglutide maintenance of body mass index (bmi) below obesity threshold measures as count of participants",True,False,maintenance of body mass index (bmi) below obesity threshold measures as count of participants,False,True,False,False,True,LIKELY_INCLUDE,LIKELY_INCLUDE,INCLUDE,Automatic include retained without further audit because the trial had strong weight-outcome and/or same-programme obesity-development evidence.,AUTO_STRONG_INCLUDE,Phase 4,7,Active / recruiting,Novo Nordisk A/S,INDUSTRY,1,1,1,1,False,2024-09-17,2024,9,17,DAY,2024,2024-09-17,BEFORE_SNAPSHOT,True
NCT06439277,A Study of Tirzepatide in Adolescents With Obesity and Weight-Related Comorbidities (SURMOUNT-ADOLESCENTS-2),"Efficacy and Safety of Tirzepatide Once Weekly Versus Placebo for the Treatment of Obesity and Weight-Related Comorbidities in Adolescents: A Randomized, Double-Blind, Placebo- Controlled Trial (SURMOUNT-ADOLESCENTS-2)",PHASE3,RECRUITING,2024-06-03,,,2024-06-03,2026-09-04,300.0,ESTIMATED,Eli Lilly and Company,INDUSTRY,Obesity; Weight Gain,TREATMENT,RANDOMIZED,PARALLEL,DOUBLE,ALL,12 Years,17 Years,False,"The goal of the study is to assess how tirzepatide impacts bodyweight and cardiovascular risk factors when used in conjunction with healthy nutrition and physical activity in adolescents with obesity and multiple weight related comorbidities. The study will last approximately 76 weeks and may include up to 23 visits.

Participants who have completed the primary 72-week GPIX study and have been off treatment for no more than 12 weeks (including the 4-week safety follow-up period), will have the opportunity to receive an additional 156 weeks of treatment with tirzepatide as well as continuing the lifestyle intervention.",2024-06-03,Placebo; Tirzepatide,Percent Change from Baseline in Body Mass Index (BMI); A Composite Endpoint of Normalization or Clinically Significant Improvement in At Least 2 Predefined Weight-Related Comorbidities Present at Screening Without Development of New Predefined Comorbidity or Worsening of Existing Predefined Comorbidity,"Baseline, Week 72",,"a study of tirzepatide in adolescents with obesity and weight-related comorbidities (surmount-adolescents-2) efficacy and safety of tirzepatide once weekly versus placebo for the treatment of obesity and weight-related comorbidities in adolescents: a randomized, double-blind, placebo- controlled trial (surmount-adolescents-2) obesity; weight gain the goal of the study is to assess how tirzepatide impacts bodyweight and cardiovascular risk factors when used in conjunction with healthy nutrition and physical activity in adolescents with obesity and multiple weight related comorbidities. the study will last approximately 76 weeks and may include up to 23 visits.

participants who have completed the primary 72-week gpix study and have been off treatment for no more than 12 weeks (including the 4-week safety follow-up period), will have the opportunity to receive an additional 156 weeks of treatment with tirzepatide as well as continuing the lifestyle intervention. placebo; tirzepatide percent change from baseline in body mass index (bmi); a composite endpoint of normalization or clinically significant improvement in at least 2 predefined weight-related comorbidities present at screening without development of new predefined comorbidity or worsening of existing predefined comorbidity ",True,False,percent change from baseline in body mass index (bmi); a composite endpoint of normalization or clinically significant improvement in at least 2 predefined weight-related comorbidities present at screening without development of new predefined comorbidity or worsening of existing predefined comorbidity ,False,True,False,False,True,LIKELY_INCLUDE,LIKELY_INCLUDE,INCLUDE,"Retain automatic include after sanity audit: the study centrally evaluates obesity/weight treatment or a genuine obesity-drug development programme, with no conflicting primary indication identified.",AUTO_SANITY_AUDIT,Phase 3,6,Active / recruiting,Eli Lilly and Company,INDUSTRY,1,1,1,1,False,2024-06-03,2024,6,3,DAY,2024,2024-06-03,BEFORE_SNAPSHOT,True
NCT02664441,Energy Balance & Weight Loss in Craniopharyngioma-related or Other Hypothalamic Tumors in Hypothalamic Obesity,Glucagon-Like Peptide-1 Agonist Effects on Energy Balance in Hypothalamic Obesity,PHASE3,COMPLETED,2016-03,2020-03-16,2020-07-31,2016-01-27,2022-05-05,42.0,ACTUAL,Seattle Children's Hospital,OTHER,Hypothalamic Obesity,TREATMENT,RANDOMIZED,PARALLEL,QUADRUPLE,ALL,10 Years,25 Years,False,"The proposed multicenter study will test the effect of glucagon-like peptide (GLP)-1 agonist exenatide once weekly extended-release (ExQW, Bydureon®) on clinical outcomes and metabolic parameters in a double-blind, placebo-controlled 36 week randomized trial with an 18 week open label extension. Following baseline testing, 48 patients will be randomly assigned with equal allocation to ExQW or matching placebo injection for 36 weeks, followed by an 18 week open label extension during which all patients receive ExQW. Changes of weight status, body composition, free-living total daily energy expenditure (EE) by doubly labeled water (DLW), activity by acetimetry, energy intake (questionnaires and food diary), as well as glucose tolerance and hormonal parameters of energy homeostasis and insulin resistance will be assessed before treatment and at the end of the placebo-controlled phase (week 36). Activity, metabolic outcomes, energy intake will be also assessed at study week 18 (mid treatment of randomized study), as well as week 54 (end of open label treatment).",2016-03-01,Exenatide; placebo,Percent Change of Body Mass Index (BMI) as Calculated by the Formula: Body Weight in kg Divided by Height in Meters².,From baseline to 36 weeks,"Percent change of body mass index (BMI), as calculated by the formula: body weight in kg divided by height in meters², between baseline and the end of the 36-week randomized drug treatment phase.","energy balance & weight loss in craniopharyngioma-related or other hypothalamic tumors in hypothalamic obesity glucagon-like peptide-1 agonist effects on energy balance in hypothalamic obesity hypothalamic obesity the proposed multicenter study will test the effect of glucagon-like peptide (glp)-1 agonist exenatide once weekly extended-release (exqw, bydureon®) on clinical outcomes and metabolic parameters in a double-blind, placebo-controlled 36 week randomized trial with an 18 week open label extension. following baseline testing, 48 patients will be randomly assigned with equal allocation to exqw or matching placebo injection for 36 weeks, followed by an 18 week open label extension during which all patients receive exqw. changes of weight status, body composition, free-living total daily energy expenditure (ee) by doubly labeled water (dlw), activity by acetimetry, energy intake (questionnaires and food diary), as well as glucose tolerance and hormonal parameters of energy homeostasis and insulin resistance will be assessed before treatment and at the end of the placebo-controlled phase (week 36). activity, metabolic outcomes, energy intake will be also assessed at study week 18 (mid treatment of randomized study), as well as week 54 (end of open label treatment). exenatide; placebo percent change of body mass index (bmi) as calculated by the formula: body weight in kg divided by height in meters². percent change of body mass index (bmi), as calculated by the formula: body weight in kg divided by height in meters², between baseline and the end of the 36-week randomized drug treatment phase.",True,False,"percent change of body mass index (bmi) as calculated by the formula: body weight in kg divided by height in meters². percent change of body mass index (bmi), as calculated by the formula: body weight in kg divided by height in meters², between baseline and the end of the 36-week randomized drug treatment phase.",False,False,False,False,True,LIKELY_INCLUDE,LIKELY_INCLUDE,INCLUDE,"Retain automatic include after sanity audit: the study centrally evaluates obesity/weight treatment or a genuine obesity-drug development programme, with no conflicting primary indication identified.",AUTO_SANITY_AUDIT,Phase 3,6,Completed,Seattle Children's Hospital,OTHER,1,1,1,1,False,2016-03,2016,3,,MONTH,2016,,BEFORE_SNAPSHOT,True
